Institution,Location,State,Type,Nickname,Conference,Url
Abilene Christian,Abilene,Texas,Private,Wildcats,Southland,https://acusports.com/roster.aspx?roster=286&path=wsoc
Air Force,Colorado Springs,Colorado,U.S. Service Academy,Falcons,Mountain West,https://goairforcefalcons.com/roster.aspx?roster=247&path=wsoc
Akron,Akron,Ohio,Public,Zips,MAC,https://gozips.com/roster.aspx?roster=206&path=wsoc
Alabama,Tuscaloosa,Alabama,Public,Crimson Tide,SEC,https://rolltide.com/roster.aspx?roster=209&path=wsoc
Alabama A&M,Normal,Alabama,Public,Bulldogs,SWAC,https://aamusports.com/roster.aspx?path=wsoc
Alabama State,Montgomery,Alabama,Public,Hornets,SWAC,https://bamastatesports.com/roster.aspx?path=wsoc
Albany,Albany,New York,Public,Great Danes,America East,http://www.ualbanysports.com/SportSelect.dbml?DB_OEM_ID=15800&SPID=8001&SPSID=70305
Alcorn State,Lorman,Mississippi,Public,Lady Braves,SWAC,https://alcornsports.com/roster.aspx?roster=152&path=wsoc
American,Washington,District of Columbia,Private,Eagles,Patriot,http://www.aueagles.com/sports/w-soccer/2018-19/roster
Appalachian State,Boone,North Carolina,Public,Mountaineers,Sun Belt,https://appstatesports.com/roster.aspx?roster=216&path=wsoc
Arizona,Tucson,Arizona,Public,Wildcats,Pac-12,https://arizonawildcats.com/roster.aspx?roster=3271&path=wsoc
Arizona State,Tempe,Arizona,Public,Sun Devils,Pac-12,https://thesundevils.com/roster.aspx?roster=1186&path=wsoc
Arkansas,Fayetteville,Arkansas,Public,Razorbacks,SEC,http://www.arkansasrazorbacks.com/sport/w-soccer/roster/
Arkansas State,Jonesboro,Arkansas,Public,Red Wolves,Sun Belt,http://www.astateredwolves.com/SportSelect.dbml?DB_OEM_ID=7200&SPID=2748&SPSID=35082
Arkansas-Pine Bluff,Pine Bluff,Arkansas,Public,Golden Lady Lions,SWAC,https://uapblionsroar.com/roster.aspx?roster=174
Army,West Point,New York,U.S. Service Academy,Black Knights,Patriot,https://goarmywestpoint.com/roster.aspx?path=wsoc
Auburn,Auburn,Alabama,Public,Tigers,SEC,https://auburntigers.com/roster.aspx?roster=178&path=wsoc
Austin Peay,Clarksville,Tennessee,Public,Lady Govs,Ohio Valley,https://www.letsgopeay.com/roster.aspx?path=wsoc
Ball State,Muncie,Indiana,Public,Cardinals,MAC,https://ballstatesports.com/roster.aspx?roster=330&path=soc
Baylor,Waco,Texas,Private,Bears,Big 12,https://baylorbears.com/roster.aspx?roster=186&path=wsoc
Belmont,Nashville,Tennessee,Private,Bruins,Ohio Valley,https://www.belmontbruins.com/sports/w-soccer/2018-19/roster
Binghamton,Binghamton,New York,Public,Bearcats,America East,https://bubearcats.com/roster.aspx?roster=567&path=wsoc
Boise State,Boise,Idaho,Public,Broncos,Mountain West,https://broncosports.com/roster.aspx?roster=192&path=wsoc
Boston College,Chestnut Hill,Massachusetts,Private,Eagles,ACC,https://bceagles.com/roster.aspx?roster=386&path=wsoc
Boston University,Boston,Massachusetts,Private,Terriers,Patriot,https://goterriers.com/roster.aspx?roster=2346&path=wsoc
Bowling Green,Bowling Green,Ohio,Public,Falcons,MAC,https://bgsufalcons.com/roster.aspx?roster=252&path=wsoc
Brown,Providence,Rhode Island,Private,Bears,Ivy League,https://brownbears.com/roster.aspx?roster=318&path=wsoc
Bryant,Smithfield,Rhode Island,Private,Bulldogs,Northeast,https://www.bryantbulldogs.com/sports/wsoc/2018-19/roster
Bucknell,Lewisburg,Pennsylvania,Private,Bison,Patriot,https://bucknellbison.com/roster.aspx?roster=155&path=wsoc
Buffalo,Buffalo,New York,Public,Bulls,MAC,http://www.ubbulls.com/sports/wsoc/2018-19/roster
Butler,Indianapolis,Indiana,Private,Bulldogs,Big East,https://butlersports.com/roster.aspx?path=wsoc
BYU,Provo,Utah,Private,Cougars,West Coast,https://byucougars.com/roster/w-soccer/
Cal Poly,San Luis Obispo,California,Public,Mustangs,Big West,https://www.gopoly.com/sports/wsoc/2018-19/roster
Cal State Bakersfield,Bakersfield,California,Public,Roadrunners,WAC,https://gorunners.com/roster.aspx?roster=214&path=wsoc
Cal State Fullerton,Fullerton,California,Public,Titans,Big West,http://www.fullertontitans.com/sports/w-soccer/2018-19/roster
Cal State Northridge,Northridge,California,Public,Matadors,Big West,https://gomatadors.com/roster.aspx?path=wsoc
California,Berkeley,California,Public,Golden Bears,Pac-12,https://calbears.com/roster.aspx?roster=1388&path=wsoc
Campbell,Buies Creek,North Carolina,Private,Camels,Big South,https://gocamels.com/roster.aspx?roster=296&path=wsoc
Canisius,Buffalo,New York,Private,Golden Griffins,Metro Atlantic,https://gogriffs.com/roster.aspx?roster=247&path=wsoc
Central Arkansas,Conway,Arkansas,Public,Sugar Bears,Southland,https://ucasports.com/roster.aspx?path=wsoc
Central Connecticut,New Britain,Connecticut,Public,Blue Devils,Northeast,http://www.ccsubluedevils.com/sports/wsoc/2018-19/roster
Central Michigan,Mount Pleasant,Michigan,Public,Chippewas,MAC,https://cmuchippewas.com/roster.aspx?roster=67&path=wsoc
Charleston,Charleston,South Carolina,Public,Cougars,CAA,https://ucgoldeneagles.com/roster.aspx?path=wsoc
Charleston Southern,North Charleston,South Carolina,Private,Buccaneers,Big South,http://www.csusports.com/sports/wsoc/2018-19/roster
Charlotte,Charlotte,North Carolina,Public,49ers,Conference USA,https://queensathletics.com/roster.aspx?path=wsoc
Chattanooga,Chattanooga,Tennessee,Public,Mocs,Southern,https://gomocs.com/roster.aspx?path=wsoc
Chicago State,Chicago,Illinois,Public,Cougars,WAC,https://www.gocsucougars.com/roster.aspx?path=wsoc
Cincinnati,Cincinnati,Ohio,Public,Bearcats,American,https://gobearcats.com/roster.aspx?roster=173&path=wsoc
Clemson,Clemson,South Carolina,Public,Tigers,ACC,https://www.nmnathletics.com/SportSelect.dbml?DB_LANG=C&DB_OEM_ID=28500&SPID=103702&SPSID=657783
Cleveland State,Cleveland,Ohio,Public,Vikings,Horizon,http://www.csuvikings.com/sports/w-soccer/2018-19/roster
Coastal Carolina,Conway,South Carolina,Public,Chanticleers,Sun Belt,https://goccusports.com/roster.aspx?roster=230
Colgate,Hamilton,New York,Private,Raiders,Patriot,https://gocolgateraiders.com/roster.aspx?roster=399&path=wsoc
Colorado,Boulder,Colorado,Public,Buffaloes,Pac-12,https://cubuffs.com/roster.aspx?roster=439&path=wsoc
Colorado College,Colorado Springs,Colorado,Private,Tigers,Mountain West,https://cctigers.com/roster.aspx?roster=213&path=wsoc
Colorado State,Fort Collins,Colorado,Public,Rams,Mountain West,https://csurams.com/roster.aspx?roster=150
Columbia,New York City,New York,Private,Lions,Ivy League,https://gocolumbialions.com/roster.aspx?roster=363&path=wsoc
Connecticut,Storrs,Connecticut,Public,Huskies,American,https://uconnhuskies.com/roster.aspx?roster=346&path=wsoc
Cornell,Ithaca,New York,Private,Big Red,Ivy League,https://cornellbigred.com/roster.aspx?path=wsoccer
Creighton,Omaha,Nebraska,Private,Bluejays,Big East,https://gocreighton.com/roster.aspx?path=wsoc
Dartmouth,Hanover,New Hampshire,Private,Big Green,Ivy League,https://dartmouthsports.com/roster.aspx?path=wsoc
Davidson,Davidson,North Carolina,Private,Wildcats,Atlantic 10,https://davidsonwildcats.com/roster.aspx?path=wsoc
Dayton,Dayton,Ohio,Private,Flyers,Atlantic 10,https://daytonflyers.com/roster.aspx?roster=287&path=wsoc
Delaware,Newark,Delaware,Private-public hybrid,Fightin' Blue Hens,CAA,https://bluehens.com/roster.aspx?roster=241&path=wsoc
Delaware State,Dover,Delaware,Public,Hornets,Independent,http://www.dsuhornets.com/SportSelect.dbml?DB_OEM_ID=12900&SPID=5799&SPSID=82317
Denver,Denver,Colorado,Private,Pioneers,Summit,https://denverpioneers.com/roster.aspx?roster=39&path=wsoc
DePaul,Chicago,Illinois,Private,Blue Demons,Big East,https://depaulbluedemons.com/roster.aspx?roster=87&path=wsoc
Detroit Mercy,Detroit,Michigan,Private,Titans,Horizon,https://detroittitans.com/roster.aspx?roster=252&path=wsoc
Drake,Des Moines,Iowa,Private,Bulldogs,Missouri Valley,https://godrakebulldogs.com/roster.aspx?path=wsoc
Drexel,Philadelphia,Pennsylvania,Private,Dragons,CAA,https://drexeldragons.com/roster.aspx?path=wsoc
Duke,Durham,North Carolina,Private,Blue Devils,ACC,http://www.goduke.com/SportSelect.dbml?DB_OEM_ID=4200&SPID=1842&SPSID=22660
Duquesne,Pittsburgh,Pennsylvania,Private,Dukes,Atlantic 10,https://goduquesne.com/roster.aspx?roster=142&path=wsoc
East Carolina,Greenville,North Carolina,Public,Pirates,American,https://ecupirates.com/roster.aspx?path=wsoc
East Tennessee State,Johnson City,Tennessee,Public,Buccaneers,Southern,http://www.etsubucs.com/wsoccer/roster/
Eastern Illinois,Charleston,Illinois,Public,Panthers,Ohio Valley,https://eiupanthers.com/roster.aspx?roster=245
Eastern Kentucky,Richmond,Kentucky,Public,Colonels,Ohio Valley,https://ekusports.com/roster.aspx?roster=290&path=wsoc
Eastern Michigan,Ypsilanti,Michigan,Public,Eagles,MAC,https://emueagles.com/roster.aspx?roster=313&path=
Eastern Washington,Cheney,Washington,Public,Eagles,Big Sky,https://goeags.com/roster.aspx?path=wsoc
Elon,Elon,North Carolina,Private,Phoenix,CAA,https://elonphoenix.com/roster.aspx?path=wsoc
